Time,total_freq,BMW,DATSUN,FORD,HONDA,JAGUAR,MARUTI,NISSAN,TATA,TOYOTA
06-02-2016 18:20,21,0,0,0,2,0,0,0,3,0
06-02-2016 18:25,36,0,0,0,0,2,1,0,1,0
06-02-2016 18:30,25,0,1,0,0,0,1,0,0,0
06-02-2016 18:35,27,0,0,0,0,0,1,10,3,0
06-02-2016 18:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 18:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 18:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 18:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 19:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 20:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:10,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:20,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:25,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:30,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 21:40,2,0,0,0,0,0,0,0,0,0
06-02-2016 21:45,4,0,0,0,0,0,0,0,0,0
06-02-2016 21:50,4,0,0,0,0,1,1,0,0,0
06-02-2016 21:55,4,2,0,0,0,0,0,0,0,1
06-02-2016 22:00,2,0,0,0,0,0,0,0,0,0
06-02-2016 22:05,2,0,0,0,0,0,0,0,0,0
06-02-2016 22:10,7,0,0,0,0,0,1,0,0,0
06-02-2016 22:15,2,0,0,0,0,0,0,0,0,3
06-02-2016 22:20,1,0,0,0,0,0,0,0,0,0
06-02-2016 22:25,3,1,0,0,0,0,0,0,0,1
06-02-2016 22:30,6,0,0,0,3,0,0,0,1,1
06-02-2016 22:35,1,0,0,0,0,0,0,0,0,0
06-02-2016 22:40,2,0,0,0,0,0,0,0,0,0
06-02-2016 22:45,2,0,0,0,0,0,0,0,0,3
06-02-2016 22:50,6,0,0,0,0,0,0,0,0,0
06-02-2016 22:55,5,0,0,0,0,0,0,0,0,0
06-02-2016 23:00,0,0,0,0,0,0,0,0,0,0
06-02-2016 23:05,2,0,0,0,0,1,0,0,0,0
06-02-2016 23:10,3,0,0,0,0,0,0,0,0,0
06-02-2016 23:15,0,0,0,0,0,0,0,0,0,0
06-02-2016 23:20,5,2,0,0,0,0,0,0,0,0
06-02-2016 23:25,3,0,0,0,0,1,1,0,0,0
